host,"Local hostname/device running the resolver; if not present in lines, populate from collector/agent metadata."
program,"DNS component emitting the log (e.g., dnsmasq); aligns resolver-specific behaviors."
pid,"Resolver process ID; helps correlate adjacent DNS events emitted by the same daemon instance."
event_type,"DNS template class (query/forwarded/reply/cached/nameserver_error); drives semantic alignment."
qname,"Fully qualified domain name queried; primary DNS object for object-centric correlation."
qtype,"DNS record type (A/AAAA/TXT/SRV); disambiguates parallel lookups for the same qname."
src_ip,"Client IP that issued the query to the resolver; aligns request origin with other network/auth sources."
dst_ip,"Upstream DNS server/peer IP when present (forward target or resolver peer); aligns egress dependency paths."
answer_kind,"Coarse answer category (ipv4/ipv6/cname/txt_like/none); normalizes heterogeneous reply bodies."
status_code,"DNS resolution status (e.g., NOERROR/NXDOMAIN/REFUSED/NODATA); protocol-level outcome for DNS."
response_source,"Where the response was served from (cache/upstream/local); separates cache hits from real upstream traffic."
outcome,"Cross-log outcome abstraction derived from status_code (success/failure/unknown); supports unified filtering."
