host,"Local hostname/device running Apache; if not present in the line, populate from collector, vhost, or deployment metadata."
program,"Emitting Apache component; use 'apache' for access entries and the module/component name for error entries (e.g., php7, authz_core, negotiation, autoindex)."
pid,"Apache worker/process identifier when available; supports short-range correlation across related error events."
event_type,"Canonical Apache event category inferred from the template (e.g., http_request, php_error, script_not_found, access_denied, negotiation_error, directory_index_forbidden, request_timeout)."
event_action,"Primary action verb or request method; use HTTP methods for access entries (GET/POST/OPTIONS) and normalized action labels for error entries (e.g., denied, not_found, failed, timed_out)."
user,"Authenticated or logged user identity when available; maps Apache remote-user style identity into the shared user field."
src_ip,"Client/source IP that initiated the HTTP request or triggered the error context; aligns with src_ip in auth, audit, and dns."
src_port,"Client/source port when present, mainly from error entries with [client ip:port]; helps distinguish concurrent requests from the same src_ip."
object_name,"Primary acted-on web object or filesystem-backed target; use the request URI/path for access entries and the implicated script/file/resource path for error entries."
status_code,"Protocol-level HTTP status code for access entries (e.g., 200, 404, 408); supports outcome normalization and web-response alignment."
outcome,"Normalized result abstraction (success/failure/unknown); derived from HTTP status, Apache error semantics, or module outcome when available."
referer,"HTTP referer value when present; links the request/error to the navigation source or triggering page."
user_agent,"HTTP user-agent string when present; supports client fingerprinting and behavior clustering across requests."
http_version,"HTTP protocol version from the request line (e.g., HTTP/1.1, HTTP/1.0); helps separate client/request patterns."
bytes_sent,"Response body size in bytes for access entries; useful for distinguishing full page loads, errors, and empty/timeout responses."
severity,"Apache/PHP log severity for error entries (e.g., warn, error); complements outcome with source-level seriousness."
error_code,"Apache or module-specific error identifier when present (e.g., AH01630, AH00687); supports fine-grained alignment of equivalent failure patterns."
