host,Local hostname/device that emitted the log; scopes events and supports cross-host correlation.
program,"Emitting service name (e.g., sshd, sudo, su); anchors authentication/authorization pathway alignment."
pid,"Process identifier when available (e.g., sshd[1234]); links multi-line auth flows within a process."
event_type,"Canonical auth event category inferred from template (e.g., ssh_login, sudo_cmd, pam_session)."
event_action,"Template action verb (e.g., accepted/failed/opened/closed); aligns lifecycle steps across logs."
user,Primary user referenced by the event (session user or login target); not always the initiator.
actor_user,"Initiating user explicitly stated (e.g., 'su ... by X'); aligns who triggered the action."
invoker_user,"Recorded caller of an action (e.g., 'sudo: X'); distinguishes the invoker from the target identity."
target_user,"Privilege/identity target of the action (e.g., sudo USER=root, su for Y); aligns what role was assumed."
session_id,"Auth/session handle (e.g., systemd-logind session or PAM session marker); ties open/close pairs."
tty,Terminal identifier (pts/N or unknown); separates interactive vs non-interactive execution contexts.
cwd,Working directory context (from PWD); aligns with audit cwd for provenance correlation.
command,"Executed command string (e.g., sudo COMMAND=...); primary payload for behavior alignment."
src_ip,Remote source IP for network authentication (sshd); aligns ingress origin with audit src_ip.
src_port,Remote source port (sshd); disambiguates concurrent connections from the same src_ip.
pam_service,PAM service domain (sshd/sudo/su/cron); distinguishes authentication domains and session boundaries.
pam_action,PAM action/phase outcome (opened/closed/auth); refines session lifecycle alignment.
outcome,Derived auth outcome when possible (success/failure/unknown); normalizes results across sources.
